Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9515151515151514,2.279854920641689e-05,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.2121212121212121,0.5563057751029299,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.8909090909090909,0.0005421442248338665,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.13939393939393938,0.7009318849100584,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.16363636363636364,0.6514773427962428,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.16363636363636364,0.6514773427962428,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.7818181818181817,0.007547007781067878,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.8303030303030302,0.0029402270232795065,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.13939393939393938,0.7009318849100584,0
gist1m_A3_12_12_12_random_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
