Batch | M | ef | SearchTime | Accuracy
0 | 10 | 30 | 0.164123 | 0.4535
0 | 20 | 50 | 0.28735 | 0.7756
0 | 30 | 70 | 0.508382 | 0.8665
0 | 40 | 100 | 0.432681 | 0.9009
0 | 50 | 150 | 0.513527 | 0.9428
1 | 10 | 30 | 0.163208 | 0.4108
1 | 20 | 50 | 0.285477 | 0.7593
1 | 30 | 70 | 0.503332 | 0.8663
1 | 40 | 100 | 0.422792 | 0.8923
1 | 50 | 150 | 0.488054 | 0.933
2 | 10 | 30 | 0.163758 | 0.4546
2 | 20 | 50 | 0.398324 | 0.7755
2 | 30 | 70 | 0.495019 | 0.8679
2 | 40 | 100 | 0.420948 | 0.9093
2 | 50 | 150 | 0.490498 | 0.9406
3 | 10 | 30 | 0.238572 | 0.4605
3 | 20 | 50 | 0.406731 | 0.7878
3 | 30 | 70 | 0.333431 | 0.8663
3 | 40 | 100 | 0.605308 | 0.9146
3 | 50 | 150 | 0.679613 | 0.9265
4 | 10 | 30 | 0.239031 | 0.4265
4 | 20 | 50 | 0.405237 | 0.7783
4 | 30 | 70 | 0.332137 | 0.8699
4 | 40 | 100 | 0.596094 | 0.9201
4 | 50 | 150 | 0.671593 | 0.9461
5 | 10 | 30 | 0.237303 | 0.4426
5 | 20 | 50 | 0.406414 | 0.7741
5 | 30 | 70 | 0.336799 | 0.8662
5 | 40 | 100 | 0.601275 | 0.9137
5 | 50 | 150 | 0.681989 | 0.9466
6 | 10 | 30 | 0.241904 | 0.4879
6 | 20 | 50 | 0.408846 | 0.7945
6 | 30 | 70 | 0.333816 | 0.876
6 | 40 | 100 | 0.586138 | 0.9154
6 | 50 | 150 | 0.668375 | 0.9479
7 | 10 | 30 | 0.239214 | 0.4789
7 | 20 | 50 | 0.392007 | 0.803
7 | 30 | 70 | 0.324193 | 0.8767
7 | 40 | 100 | 0.563539 | 0.9245
7 | 50 | 150 | 0.648703 | 0.9561
8 | 10 | 30 | 0.23319 | 0.4947
8 | 20 | 50 | 0.358995 | 0.8194
8 | 30 | 70 | 0.331176 | 0.8878
8 | 40 | 100 | 0.550552 | 0.9373
8 | 50 | 150 | 0.612291 | 0.951
9 | 10 | 30 | 0.224231 | 0.5404
9 | 20 | 50 | 0.35851 | 0.8481
9 | 30 | 70 | 0.288017 | 0.914
9 | 40 | 100 | 0.50736 | 0.9447
9 | 50 | 150 | 0.571784 | 0.9578
