Batch | M | ef | SearchTime | Accuracy
0 | 10 | 30 | 0.10383 | 0.1625
0 | 20 | 50 | 0.165254 | 0.1737
0 | 30 | 70 | 0.26389 | 0.1744
0 | 40 | 100 | 0.226158 | 0.1746
0 | 50 | 150 | 0.263639 | 0.1746
1 | 10 | 30 | 0.0865195 | 0.1423
1 | 20 | 50 | 0.136108 | 0.1688
1 | 30 | 70 | 0.190419 | 0.1719
1 | 40 | 100 | 0.176974 | 0.1738
1 | 50 | 150 | 0.197781 | 0.1745
2 | 10 | 30 | 0.0944033 | 0.0926
2 | 20 | 50 | 0.15057 | 0.1442
2 | 30 | 70 | 0.233121 | 0.1592
2 | 40 | 100 | 0.208415 | 0.1625
2 | 50 | 150 | 0.23892 | 0.1678
3 | 10 | 30 | 0.0973178 | 0.0766
3 | 20 | 50 | 0.151813 | 0.1455
3 | 30 | 70 | 0.239225 | 0.1675
3 | 40 | 100 | 0.208834 | 0.1763
3 | 50 | 150 | 0.244907 | 0.1851
4 | 10 | 30 | 0.0960038 | 0.0552
4 | 20 | 50 | 0.148234 | 0.1242
4 | 30 | 70 | 0.239981 | 0.1413
4 | 40 | 100 | 0.209441 | 0.1572
4 | 50 | 150 | 0.242529 | 0.1658
5 | 10 | 30 | 0.0983405 | 0.0464
5 | 20 | 50 | 0.151532 | 0.1078
5 | 30 | 70 | 0.254164 | 0.1307
5 | 40 | 100 | 0.209136 | 0.1479
5 | 50 | 150 | 0.249654 | 0.1569
6 | 10 | 30 | 0.0980408 | 0.0464
6 | 20 | 50 | 0.151656 | 0.103
6 | 30 | 70 | 0.254169 | 0.1305
6 | 40 | 100 | 0.209909 | 0.1486
6 | 50 | 150 | 0.250297 | 0.1561
7 | 10 | 30 | 0.10064 | 0.037
7 | 20 | 50 | 0.154598 | 0.0851
7 | 30 | 70 | 0.251871 | 0.1115
7 | 40 | 100 | 0.214576 | 0.1224
7 | 50 | 150 | 0.246894 | 0.1326
8 | 10 | 30 | 0.100577 | 0.0394
8 | 20 | 50 | 0.150006 | 0.0886
8 | 30 | 70 | 0.247516 | 0.1157
8 | 40 | 100 | 0.205106 | 0.1295
8 | 50 | 150 | 0.246744 | 0.1389
9 | 10 | 30 | 0.0993739 | 0.038
9 | 20 | 50 | 0.148539 | 0.0733
9 | 30 | 70 | 0.237357 | 0.1022
9 | 40 | 100 | 0.200229 | 0.1141
9 | 50 | 150 | 0.233102 | 0.1212
